"82,4.3094117647058825,965.0,1210"
"45,3.8557894736842107,170.0,1210"
"134,1.127076923076923,1657.5,1209"
"82,4.3094117647058825,965.0,1209"
"45,3.896808510638298,170.0,1209"
"134,1.1305555555555555,1655.5,1208"
"82,4.3094117647058825,965.0,1208"
"45,3.896808510638298,170.5,1208"
"147,1.7116822429906542,1706.5,1207"
"134,1.1340557275541796,1652.5,1207"
"82,4.3094117647058825,965.0,1207"
"45,3.8557894736842107,170.0,1207"
"147,1.719718309859155,1703.5,1206"
"134,1.1482758620689655,1644.5,1206"
"82,4.3094117647058825,964.0,1206"
"45,3.8557894736842107,169.0,1206"
"147,1.7116822429906542,1699.0,1205"
"134,1.1591772151898734,1641.5,1205"
"82,4.3094117647058825,964.0,1205"
"45,3.896808510638298,168.5,1205"
"147,1.7360189573459717,1697.5,1204"
"134,1.1702875399361024,1640.5,1204"
"82,4.3094117647058825,964.0,1204"
"45,3.8557894736842107,169.0,1204"
"147,1.7955882352941177,1692.0,1203"
"134,1.2049342105263159,1638.5,1203"
"82,4.3094117647058825,964.0,1203"
"45,3.7,169.5,1203"
"134,1.2375,1638.0,1202"
"82,4.3094117647058825,963.5,1202"
"45,3.7,170.0,1202"
"134,1.2375,1637.0,1201"
"82,4.3094117647058825,963.5,1201"
"45,3.7,170.5,1201"
"148,7.793617021276596,59.0,1200"
"147,1.8407035175879398,1684.5,1200"
"134,1.2416949152542374,1635.5,1200"
"82,4.3094117647058825,963.0,1200"
"45,3.7377551020408166,171.5,1200"
"148,7.6312500000000005,59.0,1199"
"147,1.8407035175879398,1680.5,1199"
"134,1.2587628865979381,1630.5,1199"
"82,4.3094117647058825,962.5,1199"
"45,3.8557894736842107,173.5,1199"
"147,1.8315000000000001,1679.5,1198"
"134,1.2587628865979381,1628.0,1198"
"82,4.3094117647058825,962.5,1198"
"45,3.8557894736842107,173.5,1198"
"147,1.8223880597014925,1676.5,1197"
"134,1.2544520547945206,1620.5,1197"
"82,4.3094117647058825,962.5,1197"
"45,3.7762886597938143,172.5,1197"
"147,1.7610576923076924,1669.0,1196"
"134,1.2291946308724833,1600.0,1196"
"82,4.3094117647058825,962.5,1196"
"45,3.7377551020408166,170.0,1196"
"147,1.7442857142857144,1651.5,1195"
"134,1.332,1590.5,1195"
"82,4.3094117647058825,963.0,1195"
"45,3.5911764705882354,170.5,1195"
"147,1.7442857142857144,1648.5,1194"
"134,1.3417582417582419,1589.5,1194"
"82,4.3094117647058825,963.0,1194"
"45,3.5911764705882354,170.5,1194"
"147,1.7360189573459717,1642.5,1193"
"134,1.3667910447761193,1585.5,1193"
"82,4.3094117647058825,962.5,1193"
"45,3.556310679611651,170.0,1193"
"147,1.7610576923076924,1642.0,1192"
"134,1.3617100371747213,1584.5,1192"
"82,4.3094117647058825,962.5,1192"
"45,3.488571428571429,170.0,1192"
"147,1.8688775510204083,1640.0,1191"
"134,1.3566666666666667,1583.5,1191"
"82,4.3094117647058825,962.5,1191"
"45,3.4556603773584906,170.0,1191"
"134,1.3667910447761193,1581.0,1190"
"82,4.3094117647058825,962.5,1190"
"45,3.4556603773584906,170.0,1190"
"134,1.3822641509433962,1578.5,1189"
"82,4.3094117647058825,962.5,1189"
"45,3.556310679611651,170.0,1189"
"134,1.430859375,1573.0,1188"
"82,4.3094117647058825,962.5,1188"
"45,3.626732673267327,170.0,1188"
"134,1.430859375,1572.5,1187"
"82,4.2593023255813955,962.5,1187"
"45,3.626732673267327,170.0,1187"
"147,1.719718309859155,1621.0,1186"
"134,1.430859375,1572.0,1186"
"82,4.210344827586207,962.5,1186"
"45,3.5911764705882354,170.5,1186"
"147,1.7278301886792453,1619.0,1185"
"134,1.4142857142857144,1571.0,1185"
"82,4.210344827586207,962.5,1185"
"45,3.5221153846153848,170.5,1185"
"147,1.7442857142857144,1614.5,1184"
"134,1.419767441860465,1570.5,1184"
"82,4.210344827586207,962.5,1184"
"45,3.5221153846153848,171.5,1184"
"134,1.419767441860465,1571.0,1183"
"82,4.1625000000000005,962.5,1183"
"45,3.4556603773584906,171.0,1183"
"134,1.4142857142857144,1571.5,1182"
"82,4.1625000000000005,962.5,1182"
"45,3.4556603773584906,170.5,1182"
"134,1.4142857142857144,1571.5,1181"
"82,4.115730337078652,962.5,1181"
"45,3.4556603773584906,170.5,1181"
"134,1.4142857142857144,1571.0,1180"
"82,4.115730337078652,962.5,1180"
"45,3.4556603773584906,170.5,1180"
"134,1.4252918287937744,1569.0,1179"
"82,4.115730337078652,962.5,1179"
"45,3.488571428571429,170.0,1179"
"134,1.4478260869565218,1567.5,1178"
"82,4.115730337078652,962.5,1178"
"45,3.4233644859813084,170.0,1178"
"134,1.4478260869565218,1567.0,1177"
"82,4.115730337078652,962.5,1177"
"45,3.4233644859813084,170.0,1177"
"134,1.4535714285714285,1566.0,1176"
"82,4.115730337078652,962.5,1176"
"45,3.4556603773584906,170.0,1176"
"134,1.4478260869565218,1564.0,1175"
"82,4.115730337078652,962.5,1175"
"45,3.3916666666666666,170.0,1175"
"134,1.459362549800797,1557.5,1174"
"82,4.115730337078652,963.0,1174"
"45,3.3000000000000003,169.0,1174"
"134,1.477016129032258,1550.5,1173"
"82,4.115730337078652,963.0,1173"
"45,3.213157894736842,169.0,1173"
"147,1.6802752293577983,1592.5,1172"
"134,1.4951020408163265,1541.0,1172"
"82,4.1625000000000005,963.0,1172"
"45,3.185217391304348,169.0,1172"
"147,1.7116822429906542,1590.5,1171"
"134,1.5521186440677968,1532.5,1171"
"82,4.1625000000000005,962.5,1171"
"45,3.185217391304348,168.5,1171"
"147,1.7610576923076924,1590.0,1170"
"134,1.5587234042553193,1532.0,1170"
"82,4.1625000000000005,962.5,1170"
"45,3.185217391304348,168.5,1170"
"147,1.8593908629441624,1587.5,1169"
"134,1.5653846153846154,1530.0,1169"
"82,4.210344827586207,963.0,1169"
"45,3.157758620689655,167.5,1169"
"147,1.917801047120419,1584.5,1168"
"134,1.5995633187772926,1527.0,1168"
"82,4.210344827586207,963.0,1168"
"45,3.0272727272727273,167.0,1168"
"39,3.6630000000000003,200.0,1168"
"147,1.917801047120419,1581.5,1167"
"134,1.6136563876651984,1524.5,1167"
"82,4.210344827586207,963.0,1167"
"45,2.954032258064516,167.0,1167"
"39,3.626732673267327,200.5,1167"
"147,1.948404255319149,1578.0,1166"
"134,1.5857142857142859,1522.5,1166"
"82,4.210344827586207,963.0,1166"
"45,2.907142857142857,166.0,1166"
"39,3.4233644859813084,201.0,1166"
"147,1.9278947368421053,1575.0,1165"
"134,1.5995633187772926,1518.0,1165"
"82,4.210344827586207,962.5,1165"
"45,2.907142857142857,166.5,1165"
"39,3.33,201.0,1165"
"134,1.5857142857142859,1515.5,1164"
"82,4.210344827586207,962.5,1164"
"45,2.884251968503937,165.5,1164"
"39,3.33,202.0,1164"
"134,1.5653846153846154,1512.5,1163"
"82,4.1625000000000005,962.5,1163"
"45,2.907142857142857,165.0,1163"
"39,3.33,202.5,1163"
"134,1.5788793103448275,1510.0,1162"
"82,4.1625000000000005,962.5,1162"
"45,2.884251968503937,164.0,1162"
"39,3.3000000000000003,203.5,1162"
"134,1.5721030042918456,1509.0,1161"
"82,4.210344827586207,962.5,1161"
"45,2.86171875,164.0,1161"
"39,3.2705357142857143,203.5,1161"
"134,1.5587234042553193,1507.5,1160"
"82,4.210344827586207,962.5,1160"
"45,2.7961832061068703,164.5,1160"
"39,3.157758620689655,204.0,1160"
"134,1.5788793103448275,1507.0,1159"
"82,4.210344827586207,962.5,1159"
"45,2.7961832061068703,165.0,1159"
"39,3.157758620689655,204.5,1159"
"134,1.6136563876651984,1505.0,1158"
"82,4.3094117647058825,962.5,1158"
"45,2.775,166.0,1158"
"39,3.078151260504202,206.0,1158"
"134,1.6136563876651984,1505.0,1157"
"82,4.3094117647058825,962.5,1157"
"45,2.775,166.5,1157"
"39,3.078151260504202,205.5,1157"
"134,1.6207964601769913,1504.5,1156"
"82,4.3094117647058825,962.5,1156"
"45,2.754135338345865,167.5,1156"
"39,3.0272727272727273,206.5,1156"
"134,1.606578947368421,1504.5,1155"
"82,4.3094117647058825,962.5,1155"
"45,2.7961832061068703,167.5,1155"
